Date,Region,total_streams
2017-01-04,sk,63221
2017-01-04,sv,147959
2017-01-04,tr,1835317
2017-01-04,tw,1172414
2017-01-04,us,55939894
2017-01-04,uy,449121
2017-01-05,ar,6223646
2017-01-05,at,774613
2017-01-05,au,6801688
2017-01-05,be,1160889
2017-01-05,bo,161633
2017-01-05,br,14499691
2017-01-05,ca,6412274
2017-01-05,ch,994569
2017-01-05,cl,4530468
2017-01-05,co,1773578
2017-01-05,cr,813145
2017-01-05,cz,395975
2017-01-05,de,13196517
2017-01-05,dk,3482516
2017-01-05,do,330519
2017-01-05,ec,676951
2017-01-05,ee,48501
2017-01-05,es,8530534
2017-01-05,fi,3069898
2017-01-05,fr,6298935
2017-01-05,gb,14955724
2017-01-05,global,169919094
2017-01-05,gr,96230
2017-01-05,gt,335914
2017-01-05,hk,751962
2017-01-05,hn,175993
2017-01-05,hu,287940
2017-01-05,id,2425707
2017-01-05,ie,1371266
2017-01-05,is,102108
2017-01-05,it,4255428
2017-01-05,jp,352428
2017-01-05,lt,77175
2017-01-05,lu,7954
2017-01-05,lv,52257
2017-01-05,mx,13585922
2017-01-05,my,1504362
2017-01-05,nl,6834075
2017-01-05,no,4087925
2017-01-05,nz,1885542
2017-01-05,pa,241246
2017-01-05,pe,1631344
2017-01-05,ph,8405698
2017-01-05,pl,1619949
2017-01-05,pt,1007321
2017-01-05,py,301175
2017-01-05,se,7848645
2017-01-05,sg,1701524
2017-01-05,sk,54583
2017-01-05,sv,148123
2017-01-05,tr,1785771
2017-01-05,tw,1096460
2017-01-05,us,56235124
2017-01-05,uy,515598
2017-01-06,ar,6485179
2017-01-06,at,754411
2017-01-06,au,7193370
2017-01-06,be,1269943
2017-01-06,bo,169981
2017-01-06,br,15810800
2017-01-06,ca,6834688
2017-01-06,ch,1118213
2017-01-06,cl,4755555
2017-01-06,co,1852956
2017-01-06,cr,855224
2017-01-06,cz,464007
2017-01-06,de,14398553
2017-01-06,dk,4031861
2017-01-06,do,348525
2017-01-06,ec,698465
2017-01-06,ee,65856
2017-01-06,es,7113984
2017-01-06,fi,3178609
2017-01-06,fr,6811811
2017-01-06,gb,18429452
2017-01-06,global,182321587
2017-01-06,gr,103120
2017-01-06,gt,355503
2017-01-06,hk,751698
2017-01-06,hn,193141
2017-01-06,hu,337636
2017-01-06,id,2474773
2017-01-06,ie,1696001
2017-01-06,is,132045
2017-01-06,it,3887802
2017-01-06,jp,340756
2017-01-06,lt,83450
2017-01-06,lu,14585
2017-01-06,lv,65253
2017-01-06,mx,14086008
2017-01-06,my,1537980
2017-01-06,nl,7273052
2017-01-06,no,4730296
2017-01-06,nz,1967695
2017-01-06,pa,262270
2017-01-06,pe,1742854
2017-01-06,ph,8589638
2017-01-06,pl,1844481
2017-01-06,pt,1145709
2017-01-06,py,320596
2017-01-06,se,7867966
2017-01-06,sg,1738853
2017-01-06,sk,63241
2017-01-06,sv,162601
2017-01-06,tr,1891689
2017-01-06,tw,1119679
2017-01-06,us,59503480
2017-01-06,uy,519443
2017-01-07,ar,6840811
2017-01-07,at,775667
2017-01-07,au,6993717
2017-01-07,be,1319379
2017-01-07,bo,144247
2017-01-07,br,15733327
2017-01-07,ca,6672965
2017-01-07,ch,1109587
2017-01-07,cl,4728438
2017-01-07,co,1770696
2017-01-07,cr,817573
2017-01-07,cz,471687
2017-01-07,de,14657403
2017-01-07,dk,3891599
2017-01-07,do,379633
2017-01-07,ec,744146
2017-01-07,ee,51458
2017-01-07,es,8193364
2017-01-07,fi,3131030
2017-01-07,fr,7633420
2017-01-07,gb,18746775
2017-01-07,global,177567024
2017-01-07,gr,109368
2017-01-07,gt,336638
2017-01-07,hk,757348
2017-01-07,hn,201502
2017-01-07,hu,353835
2017-01-07,id,2273184
2017-01-07,ie,1664641
2017-01-07,is,114713
2017-01-07,it,4276942
2017-01-07,jp,374142
2017-01-07,lt,79857
2017-01-07,lu,14698
2017-01-07,lv,60666
2017-01-07,mx,13922759
2017-01-07,my,1414606
2017-01-07,nl,7053458
2017-01-07,no,4661416
2017-01-07,nz,1915286
2017-01-07,pa,274506
2017-01-07,pe,1686932
2017-01-07,ph,8596731
2017-01-07,pl,1919751
2017-01-07,pt,1080133
2017-01-07,py,339434
2017-01-07,se,7973171
2017-01-07,sg,1655734
2017-01-07,sk,66415
2017-01-07,sv,148114
2017-01-07,tr,1839223
2017-01-07,tw,1073726
2017-01-07,us,54059621
2017-01-07,uy,509487
